Controller Name, DX200,,,,,,
Robot Name, DX200-R01,,,,,,
Model Traced, DX200-R01_tcp,,,,,,
Trace Model, DX200-R01-trace1_01,,,,,,
Reference Frame, world,,,,,,
,,,,,,,
Time[s],X[mm],Y[mm],Z[mm],Rx[deg],Ry[deg],Rz[deg],V[mm/s]
0.004,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.008,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.012,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.016,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.02,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.024,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.028,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.032,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.036,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.04,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.044,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.048,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.052,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.056,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.06,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.064,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.068,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.072,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.076,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.08,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.084,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.088,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.092,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.096,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.1,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.104,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.108,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.112,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.116,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.12,871.035,10.916,528.932,-91.021,-3.477,-89.989,0
0.124,871.039,10.906,528.928,-91.021,-3.477,-89.99,2.972
0.128,871.04,10.907,528.919,-91.021,-3.478,-89.989,2.389
0.132,871.054,10.905,528.926,-91.02,-3.477,-89.989,3.972
0.136,871.059,10.886,528.913,-91.02,-3.478,-89.989,6.019
0.14,871.074,10.864,528.89,-91.021,-3.477,-89.99,8.699
0.144,871.098,10.843,528.88,-91.02,-3.479,-89.99,8.227
0.148,871.122,10.81,528.85,-91.02,-3.478,-89.991,12.858
0.152,871.161,10.761,528.818,-91.019,-3.48,-89.992,17.584
0.156,871.206,10.706,528.762,-91.019,-3.48,-89.994,22.548
0.16,871.269,10.626,528.711,-91.018,-3.483,-89.995,28.495
0.164,871.347,10.532,528.637,-91.018,-3.485,-89.997,35.744
0.168,871.444,10.419,528.557,-91.016,-3.488,-89.999,42.291
0.172,871.552,10.282,528.449,-91.016,-3.49,-90.002,51.199
0.176,871.689,10.125,528.326,-91.014,-3.492,-90.005,60.46
0.18,871.84,9.928,528.173,-91.013,-3.496,-90.009,72.899
0.184,872.025,9.71,528,-91.011,-3.501,-90.013,83.524
0.188,872.243,9.457,527.809,-91.008,-3.504,-90.019,96.233
0.192,872.477,9.158,527.577,-91.006,-3.511,-90.024,111.264
0.196,872.753,8.826,527.338,-91.003,-3.518,-90.03,123.33
0.2,873.049,8.461,527.042,-91,-3.525,-90.037,138.84
0.204,873.392,8.046,526.726,-90.996,-3.534,-90.045,156.047
0.208,873.76,7.588,526.369,-90.993,-3.542,-90.055,171.814
0.212,874.165,7.089,525.989,-90.989,-3.551,-90.064,186.752
0.216,874.613,6.538,525.563,-90.984,-3.562,-90.074,207.146
0.22,875.093,5.946,525.106,-90.98,-3.574,-90.085,222.015
0.224,875.607,5.31,524.601,-90.975,-3.585,-90.097,240.315
0.228,876.166,4.615,524.073,-90.969,-3.598,-90.111,259.181
0.232,876.757,3.884,523.496,-90.963,-3.611,-90.124,275.771
0.236,877.391,3.095,522.88,-90.957,-3.625,-90.138,296.134
0.24,878.055,2.254,522.224,-90.95,-3.641,-90.153,314.133
0.244,878.768,1.37,521.54,-90.942,-3.657,-90.169,331.368
0.248,879.504,0.435,520.795,-90.936,-3.674,-90.185,351.081
0.252,880.279,-0.536,520.018,-90.929,-3.689,-90.201,366.173
0.256,881.088,-1.573,519.197,-90.922,-3.708,-90.219,387.699
0.26,881.931,-2.642,518.339,-90.914,-3.727,-90.236,402.381
0.264,882.809,-3.756,517.454,-90.906,-3.745,-90.254,417.763
0.268,883.718,-4.92,516.532,-90.897,-3.764,-90.273,435.376
0.272,884.648,-6.116,515.566,-90.889,-3.783,-90.292,449.229
0.276,885.6,-7.358,514.561,-90.881,-3.805,-90.31,464.97
0.28,886.579,-8.627,513.531,-90.872,-3.824,-90.329,476.232
0.284,887.576,-9.936,512.466,-90.864,-3.844,-90.348,489.975
0.288,888.595,-11.264,511.381,-90.855,-3.865,-90.366,498.872
0.292,889.621,-12.634,510.247,-90.847,-3.885,-90.386,513.217
0.296,890.67,-14.017,509.103,-90.839,-3.904,-90.404,519.62
0.3,891.733,-15.429,507.942,-90.829,-3.924,-90.423,528.694
0.304,892.795,-16.867,506.742,-90.822,-3.946,-90.441,538.274
0.308,893.864,-18.312,505.523,-90.815,-3.964,-90.458,543.107
0.312,894.948,-19.774,504.296,-90.806,-3.983,-90.476,548.655
0.316,896.025,-21.263,503.034,-90.799,-4.003,-90.493,557.4
0.32,897.109,-22.748,501.772,-90.792,-4.021,-90.51,557.281
0.324,898.19,-24.239,500.491,-90.785,-4.039,-90.524,560.899
0.328,899.276,-25.751,499.2,-90.778,-4.056,-90.541,566.509
0.332,900.36,-27.267,497.9,-90.77,-4.076,-90.555,568.029
0.336,901.435,-28.79,496.582,-90.764,-4.092,-90.569,570.624
0.34,902.507,-30.311,495.265,-90.757,-4.108,-90.584,570.114
0.344,903.581,-31.831,493.932,-90.75,-4.123,-90.596,572.241
0.348,904.638,-33.36,492.582,-90.745,-4.138,-90.609,574.267
0.352,905.701,-34.897,491.233,-90.739,-4.154,-90.621,576.161
0.356,906.751,-36.433,489.872,-90.734,-4.169,-90.632,576.455
0.36,907.789,-37.963,488.499,-90.729,-4.18,-90.643,575.638
0.364,908.828,-39.498,487.122,-90.725,-4.194,-90.653,577.305
0.368,909.859,-41.025,485.737,-90.72,-4.205,-90.662,576.15
0.372,910.886,-42.566,484.354,-90.715,-4.218,-90.671,578.007
0.376,911.901,-44.098,482.958,-90.711,-4.23,-90.679,576.957
0.38,912.908,-45.633,481.545,-90.708,-4.24,-90.687,579.043
0.384,913.911,-47.173,480.143,-90.704,-4.25,-90.694,577.925
0.388,914.912,-48.705,478.73,-90.701,-4.259,-90.7,577.995
0.392,915.896,-50.226,477.309,-90.698,-4.267,-90.706,575.493
0.396,916.875,-51.761,475.879,-90.696,-4.277,-90.71,578.865
0.4,917.841,-53.29,474.436,-90.694,-4.283,-90.716,578.551
0.404,918.804,-54.823,473.004,-90.691,-4.291,-90.719,577.048
0.408,919.755,-56.351,471.549,-90.69,-4.296,-90.723,578.361
0.412,920.701,-57.881,470.095,-90.689,-4.303,-90.725,578.435
0.416,921.635,-59.406,468.628,-90.688,-4.307,-90.728,578.177
0.42,922.575,-60.928,467.182,-90.686,-4.311,-90.729,574.979
0.424,923.496,-62.457,465.71,-90.685,-4.316,-90.731,578.449
0.428,924.405,-63.975,464.225,-90.685,-4.318,-90.731,577.607
0.432,925.31,-65.501,462.741,-90.685,-4.321,-90.731,578.257
0.436,926.203,-67.018,461.255,-90.685,-4.323,-90.73,575.77
0.44,927.09,-68.541,459.759,-90.685,-4.324,-90.729,578.072
0.444,927.966,-70.054,458.25,-90.687,-4.324,-90.726,577.269
0.448,928.847,-71.568,456.753,-90.686,-4.323,-90.724,576.213
0.452,929.706,-73.085,455.233,-90.689,-4.324,-90.721,578.134
0.456,930.56,-74.596,453.723,-90.689,-4.321,-90.718,575.014
0.46,931.406,-76.109,452.198,-90.691,-4.32,-90.713,577.312
0.464,932.239,-77.617,450.66,-90.693,-4.316,-90.709,577.218
0.468,933.067,-79.12,449.123,-90.695,-4.312,-90.703,576.131
0.472,933.883,-80.631,447.574,-90.699,-4.309,-90.698,578.088
0.476,934.705,-82.132,446.046,-90.7,-4.303,-90.691,573.532
0.48,935.503,-83.64,444.486,-90.704,-4.298,-90.684,577.958
0.484,936.297,-85.136,442.925,-90.707,-4.292,-90.677,575.825
0.488,937.078,-86.634,441.353,-90.711,-4.284,-90.669,576.818
0.492,937.855,-88.133,439.792,-90.714,-4.277,-90.66,574.924
0.496,938.622,-89.626,438.215,-90.718,-4.268,-90.651,575.945
0.5,939.377,-91.122,436.626,-90.723,-4.26,-90.641,577.292
0.504,940.137,-92.611,435.047,-90.727,-4.25,-90.631,574.688
0.508,940.874,-94.098,433.447,-90.732,-4.239,-90.621,576.521
0.512,941.606,-95.588,431.857,-90.737,-4.229,-90.609,574.541
0.516,942.326,-97.072,430.246,-90.743,-4.216,-90.598,576.409
0.52,943.041,-98.56,428.646,-90.747,-4.204,-90.586,574.746
0.524,943.742,-100.037,427.023,-90.754,-4.191,-90.573,575.955
0.528,944.436,-101.511,425.406,-90.76,-4.178,-90.56,573.772
0.532,945.122,-102.978,423.795,-90.766,-4.161,-90.547,571.242
0.536,945.798,-104.437,422.183,-90.772,-4.147,-90.532,569.176
0.54,946.454,-105.895,420.556,-90.779,-4.13,-90.517,570.331
0.544,947.104,-107.343,418.935,-90.786,-4.113,-90.503,567.135
0.548,947.741,-108.782,417.319,-90.793,-4.099,-90.487,563.779
0.552,948.371,-110.218,415.721,-90.8,-4.08,-90.472,559.731
0.556,948.983,-111.628,414.112,-90.807,-4.061,-90.456,556.288
0.56,949.577,-113.027,412.517,-90.815,-4.042,-90.44,550.805
0.564,950.162,-114.402,410.939,-90.823,-4.024,-90.423,543.319
0.568,950.729,-115.766,409.373,-90.83,-4.004,-90.406,538.13
0.572,951.287,-117.109,407.825,-90.838,-3.984,-90.388,531.003
0.576,951.818,-118.424,406.286,-90.846,-3.961,-90.372,523.21
