Controller Name, DX200,,,,,,
Robot Name, DX200-R01,,,,,,
Model Traced, DX200-R01_tcp,,,,,,
Trace Model, DX200-R01-trace1_01,,,,,,
Reference Frame, world,,,,,,
,,,,,,,
Time[s],X[mm],Y[mm],Z[mm],Rx[deg],Ry[deg],Rz[deg],V[mm/s]
0.004,724.883,-216.68,894.498,180,0,-0.002,0
0.008,724.883,-216.68,894.498,180,0,-0.002,0
0.012,724.883,-216.68,894.498,180,0,-0.002,0
0.016,724.883,-216.68,894.498,180,0,-0.002,0
0.02,724.883,-216.68,894.498,180,0,-0.002,0
0.024,724.883,-216.68,894.498,180,0,-0.002,0
0.028,724.883,-216.68,894.498,180,0,-0.002,0
0.032,724.883,-216.68,894.498,180,0,-0.002,0
0.036,724.883,-216.68,894.498,180,0,-0.002,0
0.04,724.883,-216.68,894.498,180,0,-0.002,0
0.044,724.883,-216.68,894.498,180,0,-0.002,0
0.048,724.883,-216.68,894.498,180,0,-0.002,0
0.052,724.883,-216.68,894.498,180,0,-0.002,0
0.056,724.883,-216.68,894.498,180,0,-0.002,0
0.06,724.883,-216.68,894.498,180,0,-0.002,0
0.064,724.883,-216.68,894.498,180,0,-0.002,0
0.068,724.883,-216.68,894.498,180,0,-0.002,0
0.072,724.883,-216.68,894.498,180,0,-0.002,0
0.076,724.883,-216.68,894.498,180,0,-0.002,0
0.08,724.883,-216.68,894.498,180,0,-0.002,0
0.084,724.883,-216.68,894.498,180,0,-0.002,0
0.088,724.883,-216.68,894.498,180,0,-0.002,0
0.092,724.883,-216.68,894.498,180,0,-0.002,0
0.096,724.883,-216.68,894.498,180,0,-0.002,0
0.1,724.883,-216.68,894.498,180,0,-0.002,0
0.104,724.883,-216.68,894.498,180,0,-0.002,0
0.108,724.883,-216.68,894.498,180,0,-0.002,0
0.112,724.883,-216.68,894.498,180,0,-0.002,0
0.116,724.882,-216.68,894.498,180,-0.001,-0.004,0.239
0.12,724.888,-216.687,894.503,179.999,-0.002,-0.004,2.595
0.124,724.875,-216.703,894.506,179.998,-0.004,-0.008,5.146
0.128,724.879,-216.71,894.511,179.996,-0.007,-0.011,2.356
0.132,724.871,-216.732,894.519,179.994,-0.011,-0.017,6.346
0.136,724.86,-216.77,894.523,179.99,-0.018,-0.028,9.92
0.14,724.842,-216.815,894.539,179.985,-0.027,-0.042,12.766
0.144,724.815,-216.876,894.551,179.979,-0.038,-0.061,16.816
0.148,724.799,-216.95,894.58,179.97,-0.055,-0.085,20.451
0.152,724.761,-217.055,894.608,179.959,-0.076,-0.117,28.86
0.156,724.719,-217.19,894.649,179.944,-0.102,-0.156,36.726
0.16,724.655,-217.347,894.699,179.926,-0.134,-0.207,44.18
0.164,724.59,-217.541,894.764,179.904,-0.173,-0.266,53.607
0.168,724.522,-217.773,894.838,179.879,-0.221,-0.336,63.26
0.172,724.424,-218.041,894.92,179.85,-0.276,-0.42,74.212
