Controller Name, DX200,,,,,,
Robot Name, DX200-R01,,,,,,
Model Traced, DX200-R01_tcp,,,,,,
Trace Model, DX200-R01-trace1_01,,,,,,
Reference Frame, world,,,,,,
,,,,,,,
Time[s],X[mm],Y[mm],Z[mm],Rx[deg],Ry[deg],Rz[deg],V[mm/s]
0.004,725.003,0,888.5,180,0,0,0
0.008,725.003,0,888.5,180,0,0,0
0.012,725.003,0,888.5,180,0,0,0
0.016,725.003,0,888.5,180,0,0,0
0.02,725.003,0,888.5,180,0,0,0
0.024,725.003,0,888.5,180,0,0,0
0.028,725.003,0,888.5,180,0,0,0
0.032,725.003,0,888.5,180,0,0,0
0.036,725.003,0,888.5,180,0,0,0
0.04,725.003,0,888.5,180,0,0,0
0.044,725.003,0,888.5,180,0,0,0
0.048,725.003,0,888.5,180,0,0,0
0.052,725.003,0,888.5,180,0,0,0
0.056,725.003,0,888.5,180,0,0,0
0.06,725.003,0,888.5,180,0,0,0
0.064,725.003,0,888.5,180,0,0,0
0.068,725.003,0,888.5,180,0,0,0
0.072,725.003,0,888.5,180,0,0,0
0.076,725.003,0,888.5,180,0,0,0
0.08,725.003,0,888.5,180,0,0,0
0.084,725.003,0,888.5,180,0,0,0
0.088,725.003,0,888.5,180,0,0,0
0.092,725.003,0,888.5,180,0,0,0
0.096,725.003,0,888.5,180,0,0,0
0.1,725.003,0,888.5,180,0,0,0
0.104,725.003,0,888.5,180,0,0,0
0.108,725.003,0,888.5,180,0,0,0
0.112,725.003,0,888.5,180,0,0,0
0.116,725.003,0,888.5,180,0,0,0
0.12,725.003,0,888.5,180,0,0,0
0.124,725.011,0.008,888.501,180,-0.001,0.001,3.046
0.128,725.02,0.008,888.502,180,-0.001,0.001,2.235
0.132,725.029,0.017,888.504,180,-0.001,-0.001,3.046
0.136,725.047,0.025,888.488,180,0.001,0,6.211
0.14,725.073,0.026,888.492,179.999,0,-0.001,6.708
0.144,725.109,0.051,888.497,179.999,0,0.001,10.883
0.148,725.164,0.068,888.495,179.998,-0.001,-0.001,14.369
0.152,725.23,0.101,888.478,179.998,0,0,19.058
0.156,725.314,0.135,888.48,179.996,0,0,22.693
0.16,725.431,0.186,888.469,179.995,0,-0.001,31.924
0.164,725.565,0.253,888.46,179.994,0,0,37.629
0.168,725.735,0.321,888.456,179.991,-0.001,0.001,45.751
0.172,725.936,0.406,888.43,179.989,0,0,54.886
0.176,726.176,0.516,888.418,179.986,0,0.001,66.177
0.18,726.461,0.643,888.394,179.982,0.001,-0.002,78.231
0.184,726.787,0.787,888.375,179.979,0,-0.002,89.289
0.188,727.167,0.957,888.346,179.975,0,-0.001,104.102
0.192,727.603,1.145,888.315,179.969,0,-0.001,119.135
0.196,728.084,1.365,888.272,179.964,0.002,-0.001,132.729
0.2,728.633,1.613,888.237,179.957,0.001,-0.001,150.723
0.204,729.244,1.878,888.192,179.95,0.001,0,166.829
0.208,729.912,2.186,888.146,179.942,0.001,0.001,184.23
0.212,730.652,2.512,888.081,179.934,0.002,-0.002,202.89
0.216,731.454,2.865,888.023,179.923,0.002,-0.002,219.558
0.22,732.328,3.262,887.946,179.913,0.002,-0.001,240.69
0.224,733.266,3.686,887.877,179.902,0.002,-0.001,258.014
0.228,734.277,4.146,887.789,179.889,0.003,-0.002,278.447
0.232,735.368,4.642,887.7,179.877,0.003,-0.002,300.461
0.236,736.52,5.166,887.6,179.863,0.003,0,317.558
0.24,737.747,5.735,887.497,179.849,0.003,-0.001,339.109
0.244,739.04,6.333,887.374,179.834,0.004,-0.002,357.436
0.248,740.409,6.961,887.257,179.818,0.004,-0.001,377.612
0.252,741.849,7.627,887.118,179.8,0.004,-0.002,398.235
0.256,743.349,8.331,886.976,179.783,0.004,-0.002,415.673
0.26,744.92,9.066,886.828,179.764,0.004,-0.001,435.118
0.264,746.551,9.832,886.667,179.744,0.004,-0.001,452.427
0.268,748.245,10.637,886.498,179.724,0.004,-0.001,470.706
0.272,749.999,11.481,886.315,179.704,0.004,-0.001,488.852
0.276,751.801,12.349,886.123,179.682,0.004,0.001,502.196
0.28,753.654,13.241,885.914,179.66,0.004,-0.001,516.778
0.284,755.555,14.165,885.705,179.637,0.004,0.001,531.096
0.288,757.504,15.121,885.486,179.614,0.003,-0.001,545.293
0.292,759.485,16.102,885.248,179.59,0.003,0,556.019
0.296,761.509,17.107,885.008,179.567,0.003,0,568.137
0.3,763.56,18.12,884.755,179.542,0.002,0.001,575.25
0.304,765.643,19.167,884.499,179.516,0,0,586.35
0.308,767.745,20.229,884.221,179.491,0.001,0.001,592.798
0.312,769.868,21.315,883.939,179.466,0,0.001,600.434
0.316,772.007,22.41,883.651,179.44,-0.001,0.003,605.009
0.32,774.165,23.529,883.35,179.415,-0.002,0.001,612.413
0.324,776.33,24.656,883.042,179.388,-0.003,0.003,615.044
0.328,778.506,25.79,882.72,179.362,-0.004,0.002,618.781
0.332,780.699,26.95,882.401,179.335,-0.006,0.003,625.218
0.336,782.888,28.108,882.066,179.309,-0.007,0.003,624.699
0.34,785.083,29.291,881.725,179.283,-0.008,0.003,629.127
0.344,787.286,30.472,881.387,179.256,-0.011,0.004,630.701
0.348,789.49,31.663,881.024,179.229,-0.011,0.004,632.641
0.352,791.686,32.867,880.663,179.202,-0.013,0.005,632.694
0.356,793.894,34.088,880.295,179.176,-0.015,0.006,637.514
0.36,796.098,35.307,879.911,179.15,-0.016,0.006,637.02
0.364,798.306,36.536,879.52,179.122,-0.019,0.008,639.101
0.368,800.51,37.769,879.132,179.096,-0.021,0.006,638.744
0.372,802.706,39.011,878.727,179.068,-0.022,0.008,638.871
0.376,804.91,40.268,878.325,179.042,-0.025,0.007,642.185
0.38,807.105,41.532,877.915,179.016,-0.027,0.008,641.402
0.384,809.307,42.796,877.49,178.988,-0.03,0.01,643.792
0.388,811.496,44.074,877.066,178.962,-0.032,0.009,642.504
0.392,813.693,45.353,876.626,178.934,-0.035,0.011,644.898
0.396,815.881,46.645,876.179,178.908,-0.037,0.01,644.952
0.4,818.067,47.945,875.735,178.882,-0.041,0.012,645.481
0.404,820.249,49.253,875.274,178.854,-0.043,0.012,646.299
0.408,822.433,50.567,874.806,178.828,-0.046,0.012,647.943
0.412,824.605,51.88,874.34,178.8,-0.049,0.013,644.985
0.416,826.777,53.208,873.858,178.774,-0.051,0.014,647.742
0.42,828.952,54.535,873.369,178.746,-0.055,0.014,648.779
0.424,831.118,55.877,872.872,178.72,-0.057,0.015,648.862
0.428,833.282,57.226,872.379,178.694,-0.061,0.014,649.349
0.432,835.441,58.583,871.868,178.666,-0.064,0.017,650.24
0.436,837.603,59.946,871.351,178.64,-0.068,0.016,651.85
0.44,839.756,61.308,870.827,178.613,-0.071,0.018,650.257
0.444,841.915,62.686,870.305,178.586,-0.075,0.017,653.472
0.448,844.057,64.061,869.776,178.559,-0.079,0.02,649.97
0.452,846.204,65.462,869.231,178.533,-0.083,0.02,655.227
0.456,848.343,66.859,868.678,178.506,-0.086,0.02,653.355
0.46,850.484,68.256,868.119,178.479,-0.091,0.021,654.359
0.464,852.615,69.667,867.552,178.453,-0.094,0.022,654.482
0.468,854.745,71.078,866.989,178.425,-0.099,0.023,654.046
0.472,856.869,72.502,866.408,178.399,-0.103,0.024,655.61
0.476,858.999,73.937,865.831,178.372,-0.108,0.024,658.21
0.48,861.116,75.376,865.236,178.346,-0.112,0.026,656.741
0.484,863.224,76.821,864.645,178.32,-0.116,0.025,655.853
0.488,865.339,78.266,864.036,178.292,-0.121,0.028,658.283
0.492,867.444,79.725,863.421,178.266,-0.125,0.027,658.434
0.496,869.551,81.184,862.799,178.239,-0.13,0.03,659.407
0.5,871.647,82.666,862.169,178.213,-0.134,0.03,660.771
0.504,873.747,84.138,861.553,178.185,-0.141,0.031,659.464
0.508,875.836,85.624,860.909,178.159,-0.145,0.032,660.7
0.512,877.927,87.118,860.259,178.133,-0.15,0.033,662.539
0.516,880.008,88.61,859.602,178.106,-0.155,0.034,660.945
0.52,882.089,90.126,858.938,178.08,-0.16,0.035,664.9
0.524,884.158,91.631,858.277,178.053,-0.166,0.035,660.574
0.528,886.232,93.151,857.599,178.027,-0.171,0.037,664.8
0.532,888.297,94.67,856.915,177.999,-0.176,0.037,663.205
0.536,890.366,96.204,856.232,177.974,-0.183,0.04,666.278
0.54,892.421,97.743,855.534,177.947,-0.188,0.039,665.236
0.544,894.468,99.291,854.839,177.92,-0.194,0.043,664.642
0.548,896.52,100.845,854.126,177.894,-0.2,0.042,667.628
0.552,898.563,102.396,853.407,177.867,-0.205,0.043,666.033
0.556,900.606,103.963,852.68,177.841,-0.211,0.044,668.76
0.56,902.639,105.528,851.947,177.814,-0.217,0.045,667.166
0.564,904.668,107.117,851.218,177.788,-0.224,0.047,669.643
0.568,906.697,108.696,850.48,177.761,-0.23,0.049,668.59
0.572,908.722,110.288,849.727,177.735,-0.237,0.048,671.027
0.576,910.736,111.886,848.966,177.709,-0.243,0.051,670.348
0.58,912.753,113.485,848.198,177.682,-0.25,0.05,671.24
0.584,914.753,115.095,847.434,177.656,-0.256,0.053,669.915
0.588,916.759,116.717,846.653,177.63,-0.263,0.054,673.691
0.592,918.754,118.341,845.865,177.604,-0.269,0.057,672.621
0.596,920.751,119.965,845.071,177.577,-0.276,0.056,673.498
0.6,922.741,121.602,844.278,177.551,-0.283,0.058,673.997
0.604,924.723,123.245,843.48,177.525,-0.291,0.059,673.963
0.608,926.7,124.888,842.665,177.498,-0.298,0.06,673.961
0.612,928.669,126.554,841.843,177.472,-0.304,0.062,676.827
0.616,930.641,128.21,841.014,177.446,-0.312,0.064,676.318
0.62,932.601,129.878,840.178,177.42,-0.318,0.064,676.599
0.624,934.56,131.546,839.347,177.393,-0.327,0.067,675.828
0.628,936.51,133.227,838.497,177.367,-0.334,0.066,677.735
0.632,938.464,134.926,837.65,177.342,-0.342,0.07,681.096
0.636,940.404,136.612,836.788,177.315,-0.349,0.07,677.923
0.64,942.344,138.313,835.918,177.289,-0.357,0.073,680.65
0.644,944.271,140.01,835.053,177.262,-0.365,0.073,677.412
0.648,946.2,141.723,834.169,177.237,-0.373,0.075,681.78
0.652,948.12,143.434,833.28,177.21,-0.381,0.076,680.185
0.656,950.037,145.17,832.383,177.185,-0.389,0.079,684.336
0.66,951.945,146.9,831.48,177.159,-0.397,0.08,682.274
0.664,953.855,148.63,830.59,177.133,-0.406,0.082,681.56
0.668,955.751,150.372,829.673,177.107,-0.414,0.082,683.408
0.672,957.649,152.114,828.75,177.081,-0.423,0.085,684.204
0.676,959.533,153.88,827.82,177.055,-0.431,0.086,685.997
0.68,961.414,155.633,826.883,177.028,-0.439,0.089,684.136
0.684,963.29,157.399,825.951,177.003,-0.448,0.089,685.174
0.688,965.159,159.172,825.001,176.977,-0.456,0.092,686.236
0.692,967.033,160.944,824.053,176.951,-0.466,0.092,687.103
0.696,968.89,162.728,823.09,176.926,-0.474,0.094,687.368
0.7,970.747,164.523,822.12,176.899,-0.484,0.097,689.616
0.704,972.588,166.318,821.154,176.874,-0.493,0.098,686.788
0.708,974.435,168.114,820.171,176.848,-0.502,0.1,689.254
0.712,976.269,169.921,819.181,176.822,-0.511,0.102,689.625
0.716,978.102,171.736,818.184,176.797,-0.521,0.102,691.358
0.72,979.925,173.548,817.181,176.77,-0.529,0.106,689.762
0.724,981.746,175.385,816.192,176.746,-0.541,0.106,692.323
0.728,983.557,177.208,815.176,176.719,-0.549,0.11,690.885
0.732,985.367,179.046,814.153,176.694,-0.559,0.11,693.601
0.736,987.166,180.88,813.123,176.668,-0.569,0.114,692.006
0.74,988.954,182.727,812.098,176.643,-0.578,0.114,691.813
0.744,990.744,184.585,811.056,176.616,-0.589,0.117,695.824
0.748,992.523,186.444,810.007,176.591,-0.598,0.119,694.686
0.752,994.302,188.31,808.951,176.566,-0.608,0.121,696.395
