Controller Name, DX200,,,,,,
Robot Name, DX200-R01,,,,,,
Model Traced, DX200-R01_tcp,,,,,,
Trace Model, DX200-R01-trace1_01,,,,,,
Reference Frame, world,,,,,,
,,,,,,,
Time[s],X[mm],Y[mm],Z[mm],Rx[deg],Ry[deg],Rz[deg],V[mm/s]
0.004,725.112,216.678,887.481,180,0,-0.001,0
0.008,725.112,216.678,887.481,180,0,-0.001,0
0.012,725.112,216.678,887.481,180,0,-0.001,0
0.016,725.112,216.678,887.481,180,0,-0.001,0
0.02,725.112,216.678,887.481,180,0,-0.001,0
0.024,725.112,216.678,887.481,180,0,-0.001,0
0.028,725.112,216.678,887.481,180,0,-0.001,0
0.032,725.112,216.678,887.481,180,0,-0.001,0
0.036,725.112,216.678,887.481,180,0,-0.001,0
0.04,725.112,216.678,887.481,180,0,-0.001,0
0.044,725.112,216.678,887.481,180,0,-0.001,0
0.048,725.112,216.678,887.481,180,0,-0.001,0
0.052,725.112,216.678,887.481,180,0,-0.001,0
0.056,725.112,216.678,887.481,180,0,-0.001,0
0.06,725.114,216.67,887.481,180,0,-0.002,2.16
0.064,725.114,216.67,887.481,180,0,0,0
0.068,725.119,216.654,887.481,180,0,-0.001,4.32
0.072,725.113,216.643,887.481,180,0,0,3.099
0.076,725.121,216.618,887.481,180,0,-0.002,6.48
0.08,725.124,216.592,887.489,-180,0,0,6.919
0.084,725.132,216.549,887.48,180,0,0,11.114
0.088,725.141,216.489,887.479,180,0.001,-0.001,15.282
0.092,725.148,216.419,887.487,180,0,-0.001,17.701
0.096,725.166,216.325,887.486,180,0,-0.001,23.862
0.1,725.182,216.212,887.484,180,0,0,28.427
0.104,725.2,216.074,887.491,180,0,-0.002,35.037
0.108,725.225,215.91,887.48,180,0.001,0,41.5
0.112,725.252,215.711,887.486,180,0,-0.001,50.292
0.116,725.289,215.478,887.492,180,0,0,58.837
0.12,725.33,215.202,887.497,-180,0,-0.002,69.825
0.124,725.378,214.883,887.492,180,0,-0.001,80.662
0.128,725.43,214.52,887.505,-180,-0.001,-0.001,91.706
0.132,725.486,214.113,887.499,180,0,-0.002,102.657
0.136,725.554,213.647,887.502,180,0,-0.001,117.75
0.14,725.631,213.121,887.503,180,0,-0.001,133.01
0.144,725.717,212.543,887.513,-180,0,0,145.996
0.148,725.797,211.901,887.522,180,0,0,161.786
0.152,725.898,211.193,887.521,180,0.001,0,178.76
0.156,726.01,210.426,887.528,180,0.001,-0.001,193.854
0.16,726.126,209.579,887.534,180,0.001,-0.001,213.665
0.164,726.249,208.672,887.539,180,0.001,-0.001,228.887
0.168,726.388,207.689,887.552,180,0,0,248.235
0.172,726.528,206.635,887.564,-180,0,-0.001,265.883
0.176,726.683,205.505,887.566,180,0,-0.001,285.173
0.18,726.838,204.303,887.584,-180,-0.001,0,302.841
0.184,726.997,203.024,887.583,180,0.001,-0.002,322.458
0.188,727.174,201.678,887.591,180,0.001,-0.002,339.381
0.192,727.355,200.262,887.607,180,0,-0.001,356.834
0.196,727.54,198.768,887.612,180,0.001,-0.002,376.369
0.2,727.729,197.213,887.634,-180,0,-0.001,391.525
0.204,727.924,195.59,887.637,180,0,0,408.722
0.208,728.119,193.897,887.657,180,0,-0.001,426.183
0.212,728.323,192.144,887.658,180,0.001,-0.001,441.013
0.216,728.529,190.332,887.676,180,0,0,456.097
0.22,728.735,188.467,887.694,180,0,0,469.012
0.224,728.946,186.543,887.701,180,0,-0.001,483.87
0.228,729.147,184.565,887.716,180,0.001,-0.001,497.143
0.232,729.358,182.547,887.731,180,0,-0.002,507.359
0.236,729.566,180.485,887.745,180,0,-0.001,518.097
0.24,729.768,178.388,887.758,180,0,-0.002,526.7
0.244,729.963,176.247,887.779,180,0,-0.001,537.485
0.248,730.161,174.073,887.791,180,0,0,545.671
0.252,730.359,171.875,887.803,180,0,0,551.807
0.256,730.548,169.65,887.813,180,0,-0.001,558.25
0.26,730.731,167.399,887.832,-180,0,-0.001,564.54
0.264,730.911,165.123,887.842,180,0.001,-0.001,570.688
0.268,731.084,162.839,887.869,-180,-0.001,-0.001,572.698
0.272,731.252,160.539,887.878,-180,0,-0.001,576.644
0.276,731.41,158.229,887.887,180,0.001,-0.001,578.72
0.28,731.565,155.904,887.904,180,0,-0.002,582.647
0.284,731.715,153.571,887.921,180,0,-0.001,584.503
0.288,731.855,151.229,887.928,180,0,-0.002,586.502
0.292,731.986,148.888,887.945,180,0.001,0,586.307
0.296,732.109,146.529,887.96,180,0,-0.002,590.365
0.3,732.233,144.182,887.977,180,0,-0.001,587.675
0.304,732.345,141.826,887.983,180,0,-0.001,589.668
0.308,732.442,139.461,887.998,180,0.001,-0.002,591.895
0.312,732.544,137.107,888.014,180,0,-0.001,588.987
0.316,732.632,134.744,888.029,180,0,-0.002,591.146
0.32,732.716,132.383,888.035,180,0,-0.001,590.709
0.324,732.782,130.02,888.049,180,0.001,0.001,590.829
0.328,732.848,127.651,888.063,180,0,-0.001,592.441
0.332,732.914,125.293,888.079,180,0,0.001,589.758
0.336,732.964,122.926,888.092,-180,-0.001,0,591.91
0.34,733.005,120.568,888.098,180,0.001,0.001,589.589
0.344,733.04,118.203,888.111,180,0,0,591.37
0.348,733.067,115.847,888.124,180,0,0.001,589.005
0.352,733.085,113.484,888.129,180,0.001,0,590.879
0.356,733.098,111.122,888.142,180,0.001,0.001,590.562
0.36,733.108,108.761,888.165,-180,-0.001,-0.001,590.152
0.364,733.108,106.41,888.169,180,0,0.001,587.768
0.368,733.092,104.05,888.181,180,0,-0.001,589.978
0.372,733.074,101.692,888.194,180,0,0,589.488
0.376,733.053,99.336,888.197,180,0,-0.001,589.052
0.38,733.02,96.989,888.21,180,0,0,586.865
0.384,732.973,94.634,888.221,180,0.001,-0.001,588.901
0.388,732.93,92.281,888.225,180,0.001,0,588.244
0.392,732.878,89.93,888.246,180,0,0,588.002
0.396,732.815,87.579,888.257,-180,-0.001,-0.001,587.879
0.4,732.742,85.238,888.26,180,0.001,0,585.576
0.404,732.664,82.89,888.271,180,0,-0.001,587.34
0.408,732.579,80.544,888.282,180,0,0,587.071
0.412,732.484,78.198,888.284,180,0.001,-0.001,586.85
0.416,732.383,75.854,888.295,180,0.001,-0.001,586.531
0.42,732.274,73.52,888.305,180,0,0.001,584.184
0.424,732.168,71.18,888.316,180,0,-0.001,585.676
0.428,732.038,68.848,888.326,180,0,0.001,583.874
0.432,731.907,66.51,888.336,180,0,0,585.457
0.436,731.772,64.19,888.338,180,0,0,580.873
0.44,731.635,61.864,888.348,180,0,-0.001,582.531
0.444,731.474,59.555,888.358,180,0,0,578.666
0.448,731.316,57.248,888.359,180,0.001,-0.001,578.007
0.452,731.154,54.96,888.369,180,0,-0.001,573.448
0.456,730.985,52.682,888.379,180,0,0,571.121
0.46,730.806,50.422,888.38,180,0.001,-0.001,566.778
0.464,730.628,48.181,888.391,180,0,-0.001,562.017
0.468,730.438,45.966,888.392,180,0,-0.001,555.726
0.472,730.245,43.77,888.403,180,0,-0.001,551.193
0.476,730.051,41.609,888.406,180,0.001,-0.001,542.419
0.48,729.85,39.475,888.418,180,0,0,535.948
0.484,729.646,37.376,888.421,180,0,0,527.299
0.488,729.447,35.32,888.434,180,-0.001,-0.001,516.294
0.492,729.234,33.307,888.43,180,0.001,0,505.99
0.496,729.034,31.33,888.436,180,0,0,496.838
0.5,728.826,29.412,888.442,180,0,0.001,482.229
0.504,728.62,27.538,888.449,180,-0.001,-0.001,471.427
0.508,728.412,25.723,888.448,180,0,-0.001,456.682
0.512,728.209,23.968,888.449,180,0.001,0,441.682
0.516,728.01,22.273,888.459,180,0,0,426.76
0.52,727.81,20.637,888.461,180,0,-0.001,412.058
0.524,727.623,19.068,888.466,180,0,0,394.833
0.528,727.435,17.568,888.461,180,0,0.001,378.113
0.532,727.256,16.126,888.468,180,0,0,363.138
0.536,727.075,14.769,888.476,180,0,0,342.403
0.54,726.901,13.47,888.475,180,0,0,327.551
0.544,726.741,12.247,888.477,180,0,0.001,308.343
0.548,726.587,11.091,888.48,180,0,-0.001,291.531
0.552,726.439,10.011,888.484,180,0,0,272.681
0.556,726.301,9.005,888.481,180,0,0,253.676
0.56,726.175,8.067,888.489,180,-0.001,0,236.744
0.564,726.052,7.195,888.488,180,-0.001,0.001,220.131
0.568,725.929,6.39,888.489,180,0,0,203.602
0.572,725.829,5.643,888.492,180,0,0.001,188.345
0.576,725.732,4.971,888.487,180,0.001,0,169.716
0.58,725.639,4.358,888.491,180,0,0,155.195
0.584,725.562,3.794,888.498,180,0,0,142.237
0.588,725.489,3.296,888.496,180,0,0,125.661
0.592,725.425,2.841,888.496,180,0,0,115.083
0.596,725.364,2.443,888.487,180,0.001,0.001,100.6
0.6,725.312,2.087,888.497,180,0,0,90.041
0.604,725.265,1.772,888.499,180,0,0,79.6
0.608,725.225,1.499,888.503,180,-0.001,0,69.035
0.612,725.19,1.267,888.498,180,0,0,58.64
0.616,725.16,1.06,888.502,180,-0.001,-0.001,52.332
0.62,725.133,0.886,888.499,180,0,0,43.976
0.624,725.111,0.737,888.505,180,-0.001,0.001,37.689
0.628,725.094,0.604,888.502,180,-0.001,-0.001,33.412
0.632,725.076,0.497,888.5,180,0,0,27.272
0.636,725.059,0.414,888.497,180,0,0,21.171
0.64,725.05,0.331,888.496,180,0,-0.001,20.814
0.644,725.041,0.273,888.495,180,0,0,14.657
