Controller Name, DX200,,,,,,
Robot Name, DX200-R01,,,,,,
Model Traced, DX200-R01_tcp,,,,,,
Trace Model, DX200-R01-trace1_01,,,,,,
Reference Frame, world,,,,,,
,,,,,,,
Time[s],X[mm],Y[mm],Z[mm],Rx[deg],Ry[deg],Rz[deg],V[mm/s]
0.004,725.629,0,888.501,180,-0.107,-0.002,0
0.008,725.629,0,888.501,180,-0.107,-0.002,0
0.012,725.629,0,888.501,180,-0.107,-0.002,0
0.016,725.629,0,888.501,180,-0.107,-0.002,0
0.02,725.629,0,888.501,180,-0.107,-0.002,0
0.024,725.629,0,888.501,180,-0.107,-0.002,0
0.028,725.629,0,888.501,180,-0.107,-0.002,0
0.032,725.629,0,888.501,180,-0.107,-0.002,0
0.036,725.629,0,888.501,180,-0.107,-0.002,0
0.04,725.629,0,888.501,180,-0.107,-0.002,0
0.044,725.629,0,888.501,180,-0.107,-0.002,0
0.048,725.629,0,888.501,180,-0.107,-0.002,0
0.052,725.629,0,888.501,180,-0.107,-0.002,0
0.056,725.623,0,888.501,180,-0.106,-0.002,1.506
0.06,725.623,0,888.501,180,-0.106,-0.002,0
0.064,725.617,0,888.501,180,-0.105,-0.002,1.506
0.068,725.611,0,888.501,180,-0.104,-0.002,1.506
0.072,725.605,0,888.501,180,-0.103,-0.002,1.506
0.076,725.599,0,888.501,180,-0.102,-0.002,1.506
0.08,725.587,0,888.501,180,-0.1,-0.002,3.011
0.084,725.575,0,888.5,180,-0.098,-0.002,3.011
0.088,725.563,0,888.5,180,-0.096,-0.002,3.011
0.092,725.551,0,888.5,180,-0.094,-0.002,3.011
0.096,725.539,0,888.5,180,-0.092,-0.004,3.011
0.1,725.52,0,888.5,180,-0.089,-0.004,4.517
0.104,725.502,0,888.5,180,-0.086,-0.002,4.517
0.108,725.49,0,888.5,180,-0.084,-0.002,3.011
0.112,725.472,0,888.5,180,-0.08,-0.002,4.517
0.116,725.454,0,888.5,180,-0.077,-0.002,4.517
0.12,725.436,0,888.5,180,-0.074,-0.002,4.517
0.124,725.412,0,888.5,180,-0.07,-0.002,6.022
0.128,725.394,0,888.5,180,-0.067,0,4.517
0.132,725.376,0,888.5,180,-0.064,-0.002,4.517
0.136,725.358,0,888.5,180,-0.061,-0.002,4.517
0.14,725.334,0,888.5,180,-0.057,-0.002,6.022
0.144,725.316,0,888.5,180,-0.054,-0.002,4.517
0.148,725.298,0,888.5,180,-0.051,-0.002,4.517
0.152,725.274,0,888.5,180,-0.047,0,6.022
0.156,725.256,0,888.5,180,-0.043,0,4.517
0.16,725.231,0,888.5,180,-0.039,-0.002,6.022
0.164,725.213,0,888.5,180,-0.036,-0.002,4.517
0.168,725.195,0,888.5,180,-0.033,-0.002,4.517
0.172,725.171,0,888.5,180,-0.029,-0.002,6.022
0.176,725.153,0,888.5,180,-0.026,0,4.517
0.18,725.135,0,888.5,180,-0.023,0,4.517
0.184,725.117,0,888.5,180,-0.02,0,4.517
0.188,725.105,0,888.5,180,-0.018,0,3.011
0.192,725.087,0,888.5,180,-0.015,0,4.517
0.196,725.075,0,888.5,180,-0.013,-0.002,3.011
0.2,725.063,0,888.5,180,-0.011,-0.002,3.011
0.204,725.057,0,888.5,180,-0.01,-0.002,1.506
0.208,725.045,0,888.5,180,-0.008,-0.002,3.011
0.212,725.039,0,888.5,180,-0.007,0,1.506
0.216,725.033,0,888.5,180,-0.006,0,1.506
0.22,725.027,0,888.5,180,-0.004,0,1.506
0.224,725.021,0,888.5,180,-0.004,0,1.506
0.228,725.021,0,888.5,180,-0.004,0,0
0.232,725.015,0,888.5,180,-0.003,0,1.506
0.236,725.015,0,888.5,180,-0.003,0,0
0.24,725.015,0,888.5,180,-0.003,0,0
0.244,725.009,0,888.5,180,-0.002,0,1.506
0.248,725.009,0,888.5,180,-0.002,0,0
0.252,725.017,0.008,888.501,180,-0.002,0.001,3.046
0.256,725.022,0.008,888.493,180,-0.001,-0.001,2.348
0.26,725.031,0.009,888.494,179.999,-0.001,-0.001,2.246
0.264,725.05,0.026,888.487,179.999,-0.002,-0.001,6.598
0.268,725.083,0.035,888.473,179.998,-0.001,-0.002,9.169
0.272,725.12,0.052,888.469,179.996,-0.002,-0.001,10.295
0.276,725.17,0.086,888.457,179.995,-0.002,-0.002,15.456
0.28,725.24,0.12,888.438,179.994,-0.003,-0.004,19.923
0.284,725.333,0.172,888.404,179.991,-0.003,-0.004,27.975
0.288,725.444,0.224,888.373,179.988,-0.004,-0.005,31.697
0.292,725.594,0.302,888.345,179.984,-0.007,-0.006,42.68
0.296,725.765,0.388,888.293,179.979,-0.008,-0.008,49.783
0.3,725.979,0.508,888.229,179.974,-0.009,-0.01,63.223
0.304,726.23,0.63,888.168,179.966,-0.012,-0.012,71.55
0.308,726.523,0.793,888.077,179.959,-0.014,-0.015,86.973
0.312,726.871,0.967,887.983,179.949,-0.017,-0.018,100
0.316,727.266,1.167,887.876,179.937,-0.021,-0.022,113.909
0.32,727.722,1.409,887.749,179.926,-0.026,-0.025,132.868
0.324,728.228,1.671,887.61,179.911,-0.03,-0.03,146.623
0.328,728.799,1.976,887.442,179.896,-0.035,-0.037,167.086
0.332,729.435,2.308,887.263,179.878,-0.041,-0.042,184.82
0.336,730.14,2.676,887.064,179.858,-0.047,-0.049,204.977
0.34,730.916,3.08,886.854,179.837,-0.056,-0.054,224.904
0.344,731.755,3.528,886.607,179.815,-0.062,-0.065,245.728
0.348,732.673,4.014,886.349,179.79,-0.072,-0.073,267.633
0.352,733.661,4.537,886.07,179.762,-0.082,-0.08,287.916
0.356,734.721,5.106,885.763,179.733,-0.092,-0.09,310.527
0.36,735.859,5.722,885.436,179.702,-0.102,-0.101,333.674
0.364,737.072,6.368,885.088,179.669,-0.115,-0.111,354.429
0.368,738.352,7.07,884.71,179.634,-0.127,-0.124,376.853
0.372,739.72,7.812,884.311,179.597,-0.141,-0.136,401.771
0.376,741.151,8.594,883.89,179.557,-0.155,-0.148,421.052
0.38,742.66,9.434,883.439,179.516,-0.171,-0.161,446.244
0.384,744.237,10.306,882.964,179.473,-0.187,-0.175,465.963
0.388,745.891,11.229,882.468,179.428,-0.204,-0.189,489.382
0.392,747.603,12.186,881.946,179.381,-0.222,-0.205,507.396
0.396,749.378,13.194,881.41,179.333,-0.241,-0.221,527.647
0.4,751.215,14.238,880.839,179.283,-0.261,-0.237,547.26
0.404,753.1,15.326,880.251,179.231,-0.28,-0.251,563.551
0.408,755.049,16.457,879.636,179.178,-0.302,-0.269,583.942
0.412,757.046,17.609,879.004,179.123,-0.324,-0.286,597.498
0.416,759.085,18.813,878.362,179.068,-0.347,-0.302,613.344
0.42,761.163,20.045,877.691,179.012,-0.371,-0.319,626.973
0.424,763.285,21.298,877.009,178.954,-0.396,-0.336,639.172
0.428,765.43,22.596,876.297,178.895,-0.421,-0.354,651.714
0.432,767.608,23.922,875.583,178.837,-0.446,-0.372,661.923
0.436,769.812,25.262,874.846,178.776,-0.472,-0.39,670.519
0.44,772.031,26.638,874.095,178.716,-0.499,-0.408,679.173
0.444,774.277,28.033,873.332,178.656,-0.527,-0.425,688.114
0.448,776.53,29.441,872.554,178.595,-0.555,-0.444,692.041
0.452,778.797,30.877,871.771,178.533,-0.583,-0.462,698.77
0.456,781.074,32.333,870.983,178.472,-0.613,-0.479,703.906
0.46,783.356,33.801,870.17,178.41,-0.642,-0.496,708.145
0.464,785.643,35.296,869.352,178.349,-0.672,-0.515,712.949
0.468,787.935,36.794,868.528,178.287,-0.702,-0.531,714.887
0.472,790.233,38.305,867.689,178.225,-0.732,-0.549,718.904
0.476,792.531,39.835,866.852,178.163,-0.764,-0.566,721.113
0.48,794.82,41.383,866,178.102,-0.795,-0.583,723.012
0.484,797.115,42.926,865.141,178.039,-0.827,-0.601,723.834
0.488,799.412,44.505,864.277,177.978,-0.859,-0.615,729.836
0.492,801.702,46.079,863.396,177.916,-0.891,-0.632,728.608
0.496,803.988,47.67,862.527,177.856,-0.925,-0.65,729.282
0.5,806.278,49.274,861.624,177.794,-0.958,-0.666,734.654
0.504,808.559,50.888,860.734,177.732,-0.991,-0.681,733.178
0.508,810.834,52.52,859.836,177.672,-1.025,-0.697,735.164
0.512,813.117,54.147,858.923,177.611,-1.059,-0.715,736.92
0.516,815.383,55.793,858.012,177.549,-1.094,-0.728,736.374
0.52,817.655,57.457,857.085,177.49,-1.129,-0.744,741.143
0.524,819.912,59.124,856.162,177.429,-1.164,-0.759,738.504
0.528,822.175,60.802,855.222,177.369,-1.2,-0.773,742.349
0.532,824.426,62.499,854.275,177.308,-1.235,-0.787,743.409
0.536,826.674,64.204,853.332,177.249,-1.272,-0.802,743.852
0.54,828.915,65.913,852.372,177.189,-1.308,-0.816,744.339
0.544,831.158,67.633,851.406,177.129,-1.345,-0.83,746.614
0.548,833.389,69.362,850.433,177.069,-1.381,-0.845,746.478
0.552,835.616,71.109,849.463,177.011,-1.419,-0.857,748.116
0.556,837.842,72.859,848.487,176.952,-1.457,-0.871,748.795
0.56,840.064,74.62,847.494,176.893,-1.495,-0.886,750.881
0.564,842.274,76.391,846.495,176.833,-1.533,-0.899,750.754
0.568,844.48,78.179,845.499,176.776,-1.572,-0.911,752.382
0.572,846.678,79.98,844.486,176.717,-1.611,-0.925,754.16
0.576,848.878,81.782,843.468,176.659,-1.65,-0.937,755.143
0.58,851.066,83.593,842.442,176.601,-1.689,-0.949,755.023
0.584,853.254,85.423,841.41,176.544,-1.729,-0.96,758.242
0.588,855.432,87.255,840.391,176.486,-1.77,-0.974,755.706
0.592,857.609,89.097,839.346,176.428,-1.81,-0.985,759.404
0.596,859.774,90.949,838.294,176.371,-1.85,-0.996,759.293
0.6,861.937,92.829,837.235,176.315,-1.891,-1.008,763.835
