Controller Name, DX200,,,,,,
Robot Name, DX200-R01,,,,,,
Model Traced, DX200-R01_tcp,,,,,,
Trace Model, DX200-R01-trace1_01,,,,,,
Reference Frame, world,,,,,,
,,,,,,,
Time[s],X[mm],Y[mm],Z[mm],Rx[deg],Ry[deg],Rz[deg],V[mm/s]
0.004,725.001,0,888.498,180,0,0,0
0.008,725.001,0,888.498,180,0,0,0
0.012,725.001,0,888.498,180,0,0,0
0.016,725.001,0,888.498,180,0,0,0
0.02,725.001,0,888.498,180,0,0,0
0.024,725.001,0,888.498,180,0,0,0
0.028,725.001,0,888.498,180,0,0,0
0.032,725.001,0,888.498,180,0,0,0
0.036,725.001,0,888.498,180,0,0,0
0.04,725.001,0,888.498,180,0,0,0
0.044,725.001,0,888.498,180,0,0,0
0.048,725.001,0,888.498,180,0,0,0
0.052,725.001,0,888.498,180,0,0,0
0.056,725.001,0,888.498,180,0,0,0
0.06,725.001,0,888.498,180,0,0,0
0.064,725.001,0,888.498,180,0,0,0
0.068,725.001,0,888.498,180,0,0,0
0.072,725.001,0,888.498,180,0,0,0
0.076,725.001,0,888.498,180,0,0,0
0.08,725.001,0,888.498,180,0,0,0
0.084,725.001,0,888.498,180,0,0,0
0.088,725.001,0,888.498,180,0,0,0
0.092,725.001,0,888.498,180,0,0,0
0.096,725.001,0,888.498,180,0,0,0
0.1,725.001,0,888.498,180,0,0,0
0.104,725.001,0,888.498,180,0,0,0
0.108,725.001,0,888.498,180,0,0,0
0.112,725.001,0,888.498,180,0,0,0
0.116,725.001,0,888.498,180,0,0,0
0.12,725.006,0,888.507,180,-0.001,0,2.623
0.124,725.01,0,888.499,180,0,0,2.348
0.128,725.019,-0.008,888.5,180,-0.001,-0.001,3.046
0.132,725.032,-0.008,888.511,180,-0.001,-0.001,4.27
0.136,725.054,-0.017,888.523,180,-0.002,0.001,6.622
0.14,725.075,-0.025,888.545,180,-0.003,0,7.729
0.144,725.115,-0.041,888.559,180,-0.004,0,11.373
0.148,725.172,-0.066,888.594,180,-0.007,-0.002,17.908
0.152,725.241,-0.091,888.631,180,-0.009,-0.002,20.617
0.156,725.334,-0.117,888.689,-179.999,-0.013,-0.001,28.064
